MSG_DEBUG_MAP_01,Crono's House\1F
MSG_DEBUG_MAP_472,1999\Via Epoch
MSG_DEBUG_MAP_473,End of Time\Epoch
MSG_DEBUG_MAP_474,Lavos Interior\Before Final Battle
MSG_DEBUG_MAP_475,Lavos Interior\Lavos Battle
MSG_DEBUG_MAP_476,1999\A Dome
MSG_DEBUG_MAP_477,Epoch\Unspecified
MSG_DEBUG_MAP_478,Blackbird\Unspecified (Dungeon)
MSG_DEBUG_MAP_479,Lavos Interior\Lavos Core Battle
MSG_DEBUG_MAP_480,Guardia Castle\Eastern Stair
MSG_DEBUG_MAP_481,Blackbird\Unspecified (Exterior)
MSG_DEBUG_MAP_482,Blackbird\Room 11
MSG_DEBUG_MAP_483,Blackbird\Room 12
MSG_DEBUG_MAP_484,Blackbird\Room 13
MSG_DEBUG_MAP_485,Blackbird\Room 14
MSG_DEBUG_MAP_486,Guardia Castle\Eastern Stair
MSG_DEBUG_MAP_487,Guardia Castle\Western Stair
MSG_DEBUG_MAP_488,Guardia Castle\Stair to Hall of Justice
MSG_DEBUG_MAP_489,Guardia Castle\Prison Stairway
MSG_DEBUG_MAP_490,Giant's Claw
MSG_DEBUG_MAP_491,(Event)
MSG_DEBUG_MAP_492,(Event)
MSG_DEBUG_MAP_493,Somewhere\Destruction of Lavos
MSG_DEBUG_MAP_494,Somewhere 2\Destruction of Lavos 2
MSG_DEBUG_MAP_495,Death Peak\Lavos Spawn - 3
